X	Y	Z	Layer
-71.239811	-12.480958	442.571553	1
-70.722978	-12.489610	442.585948	1
-70.209161	-12.533534	442.621458	1
-69.696045	-12.584800	442.661362	1
-69.180131	-12.598616	442.689166	1
-68.664337	-12.567713	442.702366	1
-68.148733	-12.528311	442.712782	1
-67.631858	-12.521559	442.710594	1
-67.115289	-12.541721	442.698028	1
-66.598869	-12.566485	442.683688	1
-66.081972	-12.567857	442.669963	1
-65.565086	-12.555844	442.656595	1
-65.048232	-12.541939	442.643280	1
-64.532106	-12.510305	442.638405	1
-64.016348	-12.471599	442.636900	1
-63.500638	-12.432235	442.635710	1
-62.984237	-12.442761	442.627596	1
-62.467672	-12.466620	442.617632	1
-61.951038	-12.488696	442.607163	1
-61.434134	-12.495596	442.592686	1
-60.917163	-12.498556	442.577168	1
-60.400059	-12.502350	442.567876	1
-59.883175	-12.509144	442.581027	1
-59.366362	-12.516700	442.599888	1
-58.849597	-12.530333	442.616134	1
-58.333221	-12.556946	442.626782	1
-57.816951	-12.586746	442.636054	1
-57.300488	-12.613614	442.643034	1
-56.783792	-12.636301	442.646745	1
-56.267044	-12.658019	442.649700	1
-55.751340	-12.630429	442.642754	1
-55.240359	-12.554407	442.626095	1
-54.730653	-12.468603	442.607475	1
-54.228982	-12.352153	442.564932	1
-53.733812	-12.215062	442.506178	1
-53.239857	-12.074559	442.444731	1
-52.775627	-11.854544	442.409623	1
-52.327817	-11.596858	442.387456	1
-51.882220	-11.335085	442.366777	1
-51.493442	-10.998468	442.377532	1
-51.123832	-10.637296	442.398707	1
-50.765208	-10.265448	442.422416	1
-50.486734	-9.834483	442.460782	1
-50.231168	-9.386839	442.503307	1
-49.992097	-8.929807	442.540149	1
-49.806767	-8.448272	442.558941	1
-49.636031	-7.960251	442.572844	1
-49.465254	-7.472232	442.586312	1
-49.294399	-6.984218	442.598941	1
-49.123524	-6.496206	442.611353	1
-48.951871	-6.008347	442.615053	1
-48.779260	-5.520875	442.607288	1
-48.606424	-5.033509	442.596771	1
-48.433587	-4.546143	442.586253	1
-48.260751	-4.058777	442.575735	1
-48.087915	-3.571411	442.565217	1
-47.899672	-3.089793	442.563150	1
-47.700884	-2.612338	442.566911	1
-47.500283	-2.135636	442.571681	1
-47.299100	-1.659195	442.577768	1
-47.097620	-1.182887	442.584524	1
-46.896107	-0.706595	442.591357	1
-46.714098	-0.222688	442.599316	1
-46.539393	0.264053	442.607697	1
-46.364892	0.750866	442.616089	1
-46.190390	1.237679	442.624482	1
-46.015888	1.724493	442.632874	1
-45.838457	2.210276	442.638822	1
-45.648886	2.691390	442.634526	1
-45.455311	3.170950	442.626848	1
-45.261618	3.650469	442.619535	1
-45.067641	4.129885	442.613114	1
-44.873575	4.609269	442.606974	1
-44.679739	5.088772	442.603923	1
-44.486295	5.568437	442.605917	1
-44.292966	6.048145	442.609382	1
-44.100432	6.528182	442.610996	1
-43.908827	7.008593	442.610450	1
-43.717465	7.489101	442.609341	1
-43.527567	7.970164	442.604861	1
-43.338942	8.451696	442.597459	1
-43.150594	8.933327	442.589424	1
-42.958114	9.413284	442.579827	1
-42.762917	9.892130	442.569202	1
-42.567294	10.370799	442.558416	1
-42.367042	10.847494	442.545869	1
-42.164452	11.323189	442.532432	1
-41.961286	11.798650	442.519467	1
-41.746281	12.268853	442.522921	1
-41.526358	12.736866	442.533198	1
-41.305816	13.204566	442.544416	1
-41.081586	13.670320	442.561274	1
-40.855882	14.135294	442.580389	1
-40.638011	14.603989	442.598640	1
-40.445181	15.083406	442.614138	1
-40.261837	15.566815	442.628595	1
-40.078516	16.050244	442.642674	1
